Teste;ETM;Bias MÃ¡ximo;Material;norm;Abbreviation;LI;LS;IR
Anti-estreptolisina-O (ASO);20,00%;10,00%;Soro;antiestreptolisinaoaso;ASLO;20,00;200,00;16,6 - 48,5
Ureia (Urina);22,10%;7,70%;Urina;ureia urinaria;URUI;12,00;20,00;12,0 - 20,0
Varicella IgG;30,00%;15,00%;Soro;varicellaigg;HERPZG;0,00;150,00;0 - 150
Varicella IgM;30,00%;15,00%;Soro;varicellaigm;HERPZM;0,00;0,90;0 - 0,9
Vitamina B12;20,00%;10,00%;Plasma;vitaminab12;VB12;197,00;771,00;197 - 771
Vitamina D (25OHD);25,00%;12,50%;Plasma;vitaminad25ohd;VITAD25;20,00;100,00;20 - 100
Vitamina D 1,25;30,00%;15,00%;Soro;vitaminad125;VITD125;19,90;79,30;19,9 - 79,3
Frutosamina;25,00%;12,50%;Soro;frutosamina;FRUTOS;205,00;285,00;80 - 120
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
